Gene;modal_value;error_steps
GSTA2;19.2;11
MAGED1;17;6.76
MAP7D3;17;6.83
FPR2;17;4.11
PMAIP1;17;0.83
IFIT2;17;5.92
DEFB1;17;1
KIAA1671;17;2.5
HMGN5;17;6.83
GSDMD;15.2;1.75
IL15RA;15.2;1.4
MMP12;15.2;4.17
SBSN;15.1;1.03
SELL;15.1;6.07
CARD10;15.1;4.52
CD6;15.1;2.64
UBE2L6;15.1;6.82
IL12RB1;15.1;0.99
ENAM;15.1;0
CLEC1B;15.1;4.39
NKTR;15.1;7.62
RTN3;15.1;7.99
CTNNA3;14;5.92
TGM3;14;4
CCR8;14;3.42
AKAP5;14;0.28
FHL5;14;6.69
CCR4;14;3.27
IBSP;14;0.28
MOAP1;13;2.77
BCORL1;13;4.08
MUC4;13;3.63
FBLN2;12;5.15
CD248;12;3.15
NEU3;12;4.69
UBAP2L;12;3.69
NES;12;4.95
GRIN3A;12;4.69
NPY;12;0.62
CHD5;12;6.85
PKP2;12;3.32
MAFA;12;3.46
BICD1;12;5
MTA2;12;3.38
HNRNPC;12;3.93
ZNF644;12;1.23
GPC1;12;2.23
TMEM263;12;0.15
EPHA5;12;4.69
KLF15;12;5
SLC6A15;12;5.38
HHLA2;12;1.63
SLC4A7;12;5.92
CFD;12;3.02
CTNNA1;12;4
C1QTNF5;12;2.62
NPR2;12;6.54
GIT1;12;5.31
GP9;12;1.93
GOLM1;12;3.42
CHRNE;12;2.5
SIGIRR;12;1.23
PCNT;12;3.18
ZIC3;12;5
MLPH;12;2.32
PLOD1;12;5.23
ANXA5;12;5.69
KCNQ4;12;4.15
ACKR3;12;1.31
CD164;12;2.25
HOMER3;12;4.77
TSPAN1;12;3.23
CD93;12;3.23
GRM5;12;4.08
PPP1R9B;12;3.77
LLGL2;12;5.08
VSIR;12;0.92
P2RY2;12;1.92
SHBG;12;2.75
DSG1;12;1.86
SYTL4;12;5.62
MAP1LC3A;12;5.31
CYP2R1;12;4.38
AKAP12;12;3.15
ID2;12;3.46
CACNA1E;12;5
CD8A;12;0.92
PTPRT;12;4.83
CXADR;12;2.38
POM121C;12;4.29
EMP3;12;0.92
RALY;12;3.31
ANP32A;12;6.85
MUC2;12;3
IL2RG;12;0.38
AMPH;12;6.08
PRKD2;12;4.77
GPC3;12;2.62
APC2;12;3.77
EVPL;12;2.92
KHDRBS1;12;4.54
FNBP1L;12;6.77
DSC3;12;2.78
GDF9;12;1.38
