HGNC	mean_expr	max_expr	tau	group
CFH	81.49803921568626	1585.8	0.9675797704628579	top500
GCLC	23.594117647058823	142.2	0.8507594936708861	randomAbove10k
CFTR	8.468627450980392	187.0	0.973807486631016	top500
KRIT1	6.535294117647061	15.4	0.5871428571428572	randomAbove10k
HECW1	0.8431372549019609	7.6	0.9068421052631578	lowest500
NDUFAF7	7.9254901960784325	36.2	0.796685082872928	randomBelow10k
KDM1A	18.829411764705885	67.9	0.7371428571428572	top500
CAMKK1	11.315686274509806	70.2	0.8555840455840458	lowest500
ARX	3.1333333333333337	77.7	0.9788674388674388	randomAbove10k
CDC27	16.84901960784314	39.8	0.5881909547738693	randomAbove10k
CALCR	0.21372549019607845	4.0	0.9655	randomAbove10k
DVL2	16.6843137254902	32.8	0.5011585365853659	randomAbove10k
MEOX1	4.401960784313725	31.3	0.8765495207667732	lowest500
THSD7A	1.4196078431372547	7.0	0.8131428571428572	lowest500
ACSM3	13.768627450980393	166.3	0.9355502104630185	lowest500
CREBBP	16.950980392156865	49.9	0.6735070140280561	top500
MPO	65.06078431372549	3249.5	0.999577781197107	top500
PON1	10.080392156862745	498.0	0.9993534136546185	top500
RHBDD2	88.61568627450981	356.5	0.7664572230014025	randomAbove10k
SOX8	10.780392156862746	92.6	0.9012526997840173	lowest500
FBXL3	26.670588235294126	65.2	0.602760736196319	lowest500
PDK2	41.88431372549019	265.8	0.859270127915726	randomAbove10k
GDE1	27.892156862745097	72.2	0.6259556786703602	lowest500
CRLF1	13.403921568627451	231.1	0.9608394634357421	randomBelow10k
YBX2	10.55686274509804	493.0	0.998158215010142	lowest500
MAP3K14	6.484313725490197	25.2	0.7575396825396825	randomAbove10k
DLX6	0.7666666666666667	10.2	0.9433333333333331	lowest500
PHTF2	10.560784313725494	104.0	0.916423076923077	randomBelow10k
FARP2	11.778431372549019	27.1	0.5766789667896678	randomAbove10k
CDKL3	1.4078431372549016	13.7	0.9151824817518249	randomBelow10k
UPP2	1.5254901960784313	42.7	0.9835597189695551	randomBelow10k
PROM1	12.929411764705884	252.8	0.9678322784810126	top500
NOS2	1.723529411764706	19.6	0.9303061224489798	top500
DNAH9	2.784313725490196	33.1	0.9341993957703927	lowest500
PIGQ	13.123529411764705	29.9	0.5723076923076923	randomBelow10k
CYTH3	14.172549019607844	42.4	0.6790566037735849	lowest500
CELSR3	0.9980392156862746	15.4	0.953896103896104	lowest500
MAPK8IP2	11.621568627450982	103.2	0.9051356589147288	lowest500
HEATR5B	10.61176470588235	28.5	0.6402105263157893	lowest500
MASP2	10.568627450980392	452.9	0.9961978361669243	randomAbove10k
POMT2	3.1686274509803924	11.4	0.7364912280701753	randomAbove10k
IFFO1	6.196078431372549	16.3	0.6322699386503068	randomBelow10k
CD4	31.96078431372549	204.2	0.860352595494613	top500
HFE	5.060784313725491	14.5	0.664	top500
FYN	41.864705882352936	109.0	0.6282385321100917	top500
NME1-NME2	7.464705882352941	47.6	0.8600420168067228	lowest500
BTBD7	2.631372549019608	7.4	0.6572972972972974	randomBelow10k
APBA3	5.247058823529412	14.3	0.6457342657342657	randomBelow10k
TTC19	7.984313725490197	18.7	0.5844919786096257	lowest500
SYT7	11.841176470588238	79.3	0.8676923076923078	lowest500
PLAUR	32.503921568627455	650.6	0.9690408853366124	top500
BRCA1	3.9156862745098038	12.9	0.710387596899225	top500
ERCC1	42.33725490196077	103.2	0.6015503875968993	top500
KDM5D	12.982352941176472	33.1	0.619939577039275	lowest500
MAN2B2	14.556862745098039	48.7	0.7151129363449694	lowest500
MAMLD1	2.550980392156863	11.1	0.7855855855855856	randomBelow10k
CD6	4.470588235294117	40.4	0.9071287128712874	randomAbove10k
UFL1	17.631372549019606	29.3	0.4062116040955631	randomAbove10k
DPEP1	24.703921568627454	477.7	0.9672514130207241	lowest500
IGF1	16.501960784313724	83.3	0.8179351740696279	top500
ATP1A2	88.57843137254902	825.7	0.9105776916555649	randomAbove10k
TTC27	6.931372549019608	11.7	0.41572649572649567	randomAbove10k
HGF	11.170588235294119	292.9	0.9810993513144416	top500
MRE11	7.650980392156862	21.3	0.6536150234741784	top500
NRXN3	9.023529411764706	123.6	0.9455339805825242	randomAbove10k
ZDHHC6	14.48627450980392	40.0	0.6506000000000001	randomBelow10k
GRAMD1B	15.652941176470588	204.1	0.9417736403723665	lowest500
ALAS1	59.0529411764706	697.4	0.9336306280470317	randomAbove10k
GCLM	7.580392156862745	45.3	0.849315673289183	randomAbove10k
DEPDC1	1.1803921568627451	7.5	0.8594666666666665	randomAbove10k
KPNA6	14.572549019607845	37.3	0.6215013404825737	randomAbove10k
VIM	891.4039215686275	5524.1	0.8554063105302221	top500
FAS	5.515686274509803	15.9	0.6661635220125787	top500
CD44	94.9627450980392	469.7	0.8137790078773687	top500
MIPEP	8.496078431372549	23.8	0.6558823529411765	lowest500
TNFRSF1B	12.696078431372547	64.5	0.8192248062015502	top500
BMAL2	3.7509803921568623	26.1	0.8734099616858237	lowest500
IBSP	0.17058823529411768	2.5	0.9503999999999999	randomAbove10k
GRN	131.46666666666667	529.7	0.7668453841797245	top500
ARHGAP31	5.5431372549019615	18.3	0.7110382513661204	randomBelow10k
CENPQ	4.3803921568627455	9.4	0.5446808510638299	randomBelow10k
GAB2	15.117647058823527	54.0	0.7344444444444446	randomAbove10k
SLC4A7	8.856862745098042	67.5	0.8861629629629628	randomAbove10k
RNF19A	27.42156862745098	54.2	0.5039483394833949	randomBelow10k
FAM136A	16.81372549019608	31.0	0.4667741935483871	lowest500
TIMP2	196.83725490196076	933.5	0.8049234065345473	top500
CASR	12.909803921568628	615.6	0.9986094866796623	top500
MFAP3	9.93921568627451	22.9	0.5772925764192139	randomBelow10k
MRI1	12.215686274509803	21.0	0.4266666666666667	lowest500
PI4K2B	11.454901960784312	54.1	0.8040295748613677	randomBelow10k
TLL1	1.0901960784313725	6.4	0.84625	lowest500
CDH1	41.18039215686275	186.0	0.7941720430107527	top500
PARP3	13.31372549019608	33.6	0.6158333333333333	lowest500
RETSAT	38.04705882352941	231.9	0.8526520051746442	lowest500
AP2S1	95.55294117647058	208.6	0.552770853307766	randomAbove10k
CTNNA1	100.59803921568627	201.8	0.5115262636273539	randomAbove10k
HSPA5	186.72549019607845	808.7	0.7844862124397183	top500
XK	2.6999999999999997	13.4	0.8144776119402986	randomBelow10k
FOXP3	1.1607843137254903	6.6	0.8406060606060606	top500
PTGER3	9.54313725490196	81.4	0.9004176904176906	randomAbove10k
