metric	group1	group2	n1	n2	U	p	q_fdr	sig
mean_expr	top500	lowest500	487	468	153974.0	5.954692225687016e-21	1.1909384451374032e-20	***
mean_expr	top500	randomAbove10k	487	473	132866.5	3.807989171782077e-05	3.807989171782077e-05	***
mean_expr	top500	randomBelow10k	487	436	160695.5	1.8977684283793442e-41	1.1386610570276065e-40	***
mean_expr	lowest500	randomAbove10k	468	473	85986.0	3.1382649173033373e-09	3.765917900764005e-09	***
mean_expr	lowest500	randomBelow10k	468	436	125427.5	2.433761997727385e-09	3.6506429965910773e-09	***
mean_expr	randomAbove10k	randomBelow10k	473	436	145769.5	4.0024485199771596e-27	1.200734555993148e-26	***
max_expr	top500	lowest500	487	468	154709.0	1.1406426441365672e-21	3.421927932409702e-21	***
max_expr	top500	randomAbove10k	487	473	137534.5	1.9329480734323276e-07	2.8994221101484916e-07	***
max_expr	top500	randomBelow10k	487	436	153329.0	1.948763314204776e-31	1.1692579885228657e-30	***
max_expr	lowest500	randomAbove10k	468	473	89522.5	3.8580063524682466e-07	4.6296076229618955e-07	***
max_expr	lowest500	randomBelow10k	468	436	113003.5	0.005130118679629664	0.005130118679629664	**
max_expr	randomAbove10k	randomBelow10k	473	436	132974.5	4.329590689273984e-14	8.659181378547968e-14	***
tau	top500	lowest500	487	468	118938.0	0.24257120101203744	0.24257120101203744	n.s.
tau	top500	randomAbove10k	487	473	126203.0	0.010246832938014983	0.015370249407022474	*
tau	top500	randomBelow10k	487	436	89306.5	3.0533609247405076e-05	6.106721849481015e-05	***
tau	lowest500	randomAbove10k	468	473	116393.0	0.1707211283216935	0.2048653539860322	n.s.
tau	lowest500	randomBelow10k	468	436	82159.0	4.1094918426851174e-07	1.2328475528055353e-06	***
tau	randomAbove10k	randomBelow10k	473	436	78202.0	2.9888930903692185e-10	1.7933358542215312e-09	***
