Disease,median_pubmed_filtered,mean_pubmed_filtered,n_genes_with_pubmed_filtered,coverage_filtered,median_pubmed_full,mean_pubmed_full,n_genes_with_pubmed_full,coverage_full,delta_median_full_minus_filtered,delta_mean_full_minus_filtered
Familial hyperlipidemia,466.0,1557.0,4.0,1.0,784.0,1077.111111111111,7,1.0,318.0,-479.8888888888889
Autoimmune disease of central nervous system,248.0,248.0,1.0,1.0,461.5,848.6666666666666,6,1.0,213.5,600.6666666666666
non-Hodgkin lymphoma,183.5,183.5,2.0,1.0,316.0,572.2222222222222,9,1.0,132.5,388.7222222222222
Inflammatory bowel disease,183.5,183.5,2.0,1.0,306.0,924.2272727272727,21,1.0,122.5,740.7272727272727
Cancer,156.0,412.69349845201236,323.0,0.9969135802469136,263.0,766.7978395061729,482,0.9979296066252588,107.0,354.1043410541605
Junctional epidermolysis bullosa,155.0,189.8,5.0,1.0,253.0,245.875,7,1.0,98.0,56.07499999999999
Diabetes mellitus,139.0,387.32183908045977,87.0,0.9886363636363636,222.0,516.4090909090909,99,0.99,83.0,129.0872518286311
Cowden syndrome,177.0,1025.111111111111,9.0,1.0,252.5,1204.5,9,1.0,75.5,179.3888888888889
Rheumatoid arthritis,483.5,974.5,4.0,1.0,555.5,1086.53125,31,1.0,72.0,112.03125
Primary cutaneous amyloidosis,250.0,699.2727272727273,11.0,1.0,314.5,816.5,17,1.0,64.5,117.22727272727275
Aortic aneurysm,223.0,312.0,16.0,1.0,282.5,359.0,16,1.0,59.5,47.0
Migraine,59.0,187.5,16.0,0.9411764705882353,98.0,199.25,20,0.9523809523809523,39.0,11.75
Cardiomyopathy,119.5,241.98076923076923,104.0,0.9629629629629629,158.0,257.9626168224299,123,0.968503937007874,38.5,15.981847591660653
Paget's disease of bone,321.0,441.75,4.0,1.0,351.0,514.2,5,1.0,30.0,72.45000000000005
Lissencephaly,68.5,129.36111111111111,36.0,1.0,97.5,142.79545454545453,38,1.0,29.0,13.434343434343418
Thrombophilia,375.5,585.875,8.0,1.0,403.0,654.5714285714286,10,1.0,27.5,68.69642857142856
Intrahepatic cholestasis,71.0,104.57894736842105,19.0,1.0,93.0,131.10344827586206,20,1.0,22.0,26.52450090744101
Neurodegenerative disease,99.0,203.3030303030303,429.0,0.9794520547945206,120.0,294.7586705202312,466,0.9810526315789474,21.0,91.45564021720088
Epidermolysis bullosa,208.0,223.25,16.0,1.0,229.0,237.42857142857142,16,1.0,21.0,14.178571428571416
Myofibrillar myopathy,225.0,237.875,8.0,1.0,245.0,263.3333333333333,8,1.0,20.0,25.458333333333314
Hyperopia,34.0,34.0,2.0,1.0,53.5,62.0,4,1.0,19.5,28.0
cytochrome-c oxidase deficiency disease,44.5,59.95,20.0,0.8695652173913043,64.0,93.11458333333333,76,0.8260869565217391,19.5,33.164583333333326
Visceral heterotaxy,27.5,89.92857142857143,14.0,0.875,43.5,108.32352941176471,26,0.9285714285714286,16.0,18.39495798319328
Dystonia,92.5,157.5,46.0,0.9583333333333334,105.0,166.41666666666666,49,0.9607843137254902,12.5,8.916666666666657
Autosomal dominant cerebellar ataxia,119.0,154.1219512195122,41.0,0.9761904761904762,129.0,164.87234042553192,42,0.9767441860465116,10.0,10.750389206019719
Congenital bile acid synthesis defect,26.0,26.0,1.0,1.0,35.5,35.5,2,1.0,9.5,9.5
Nemaline myopathy,90.0,127.33333333333333,11.0,1.0,97.0,142.1818181818182,11,1.0,7.0,14.848484848484858
Epilepsy,81.0,128.23300970873785,309.0,0.987220447284345,88.0,128.82776349614397,317,0.9875389408099688,7.0,0.5947537874061197
Craniosynostosis,134.5,250.03846153846155,26.0,1.0,141.0,279.5357142857143,26,1.0,6.5,29.49725274725273
Leukodystrophy,89.5,124.54347826086956,46.0,0.9787234042553191,94.5,135.8125,52,0.9811320754716981,5.0,11.269021739130437
