Disease,dataset,n_genes_total,n_genes_with_pubmed,coverage_pubmed,median_pubmed,mean_pubmed,p90_pubmed,gini_pubmed,median_rank,frac_in_top500,frac_in_top2000,frac_in_top10000,top_genes
Guillain-Barre syndrome,knowledge_filtered,1,1,1.0,6439.0,6439.0,6439.0,0.0,3.0,1.0,1.0,1.0,TNF(6439)
Camurati-Engelmann disease,knowledge_filtered,1,1,1.0,5005.0,5005.0,5005.0,0.0,7.0,1.0,1.0,1.0,TGFB1(5005)
Anencephaly,knowledge_filtered,1,1,1.0,3862.0,3862.0,3862.0,0.0,9.0,1.0,1.0,1.0,MTHFR(3862)
Spina bifida,knowledge_filtered,1,1,1.0,3862.0,3862.0,3862.0,0.0,9.0,1.0,1.0,1.0,MTHFR(3862)
Proteus syndrome,knowledge_filtered,1,1,1.0,3744.0,3744.0,3744.0,0.0,10.0,1.0,1.0,1.0,AKT1(3744)
Pilomatrixoma,knowledge_filtered,1,1,1.0,3354.0,3354.0,3354.0,0.0,16.0,1.0,1.0,1.0,CTNNB1(3354)
Bannayan-Riley-Ruvalcaba syndrome,knowledge_filtered,1,1,1.0,2819.0,2819.0,2819.0,0.0,23.0,1.0,1.0,1.0,PTEN(2819)
Erdheim-Chester disease,knowledge_filtered,1,1,1.0,2743.0,2743.0,2743.0,0.0,26.0,1.0,1.0,1.0,BRAF(2743)
Androgenic alopecia,knowledge_filtered,1,1,1.0,2708.0,2708.0,2708.0,0.0,27.0,1.0,1.0,1.0,AR(2708)
Kennedy's disease,knowledge_filtered,1,1,1.0,2708.0,2708.0,2708.0,0.0,27.0,1.0,1.0,1.0,AR(2708)
Androgen insensitivity syndrome,knowledge_filtered,1,1,1.0,2708.0,2708.0,2708.0,0.0,27.0,1.0,1.0,1.0,AR(2708)
AH Amyloidosis,knowledge_filtered,2,2,1.0,2668.5,2668.5,4712.9,0.4788270563987258,2130.5,0.5,0.5,1.0,APOE(5224); APCS(113)
AHL Amyloidosis,knowledge_filtered,2,2,1.0,2668.5,2668.5,4712.9,0.4788270563987258,2130.5,0.5,0.5,1.0,APOE(5224); APCS(113)
Lewy body dementia,knowledge_filtered,5,4,0.8,2250.0,2598.6,4409.2,0.34544754868005845,44.0,0.8,0.8,1.0,APOE(5224); APP(3187); SNCA(2250); SNCA(2250); SNCB(82)
Pick's disease,knowledge_filtered,1,1,1.0,2219.0,2219.0,2219.0,0.0,47.0,1.0,1.0,1.0,MAPT(2219)
Progressive supranuclear palsy,knowledge_filtered,1,1,1.0,2219.0,2219.0,2219.0,0.0,47.0,1.0,1.0,1.0,MAPT(2219)
Stevens-Johnson syndrome,knowledge_filtered,1,1,1.0,2215.0,2215.0,2215.0,0.0,48.0,1.0,1.0,1.0,HLA-B(2215)
Desmoid tumor,knowledge_filtered,2,2,1.0,2186.5,2186.5,3120.5,0.26697919048707974,85.5,1.0,1.0,1.0,CTNNB1(3354); APC(1019)
