Disease,dataset,n_genes_total,n_genes_with_pubmed,coverage_pubmed,median_pubmed,mean_pubmed,p90_pubmed,gini_pubmed,median_rank,frac_in_top500,frac_in_top2000,frac_in_top10000,top_genes
Autoimmune disease of peripheral nervous system,knowledge_full,1,1,1.0,6439.0,6439.0,6439.0,0.0,3.0,1.0,1.0,1.0,TNF(6439)
Guillain-Barre syndrome,knowledge_full,1,1,1.0,6439.0,6439.0,6439.0,0.0,3.0,1.0,1.0,1.0,TNF(6439)
ICD10:G61,knowledge_full,1,1,1.0,6439.0,6439.0,6439.0,0.0,3.0,1.0,1.0,1.0,TNF(6439)
ICD10:G610,knowledge_full,1,1,1.0,6439.0,6439.0,6439.0,0.0,3.0,1.0,1.0,1.0,TNF(6439)
Camurati-Engelmann disease,knowledge_full,1,1,1.0,5005.0,5005.0,5005.0,0.0,7.0,1.0,1.0,1.0,TGFB1(5005)
ICD10:Q783,knowledge_full,1,1,1.0,5005.0,5005.0,5005.0,0.0,7.0,1.0,1.0,1.0,TGFB1(5005)
Anencephaly,knowledge_full,1,1,1.0,3862.0,3862.0,3862.0,0.0,9.0,1.0,1.0,1.0,MTHFR(3862)
Spina bifida,knowledge_full,1,1,1.0,3862.0,3862.0,3862.0,0.0,9.0,1.0,1.0,1.0,MTHFR(3862)
ICD10:Q05,knowledge_full,1,1,1.0,3862.0,3862.0,3862.0,0.0,9.0,1.0,1.0,1.0,MTHFR(3862)
Proteus syndrome,knowledge_full,1,1,1.0,3744.0,3744.0,3744.0,0.0,10.0,1.0,1.0,1.0,AKT1(3744)
Pilomatrixoma,knowledge_full,1,1,1.0,3354.0,3354.0,3354.0,0.0,16.0,1.0,1.0,1.0,CTNNB1(3354)
Hair follicle neoplasm,knowledge_full,1,1,1.0,3354.0,3354.0,3354.0,0.0,16.0,1.0,1.0,1.0,CTNNB1(3354)
Bannayan-Riley-Ruvalcaba syndrome,knowledge_full,1,1,1.0,2819.0,2819.0,2819.0,0.0,23.0,1.0,1.0,1.0,PTEN(2819)
Erdheim-Chester disease,knowledge_full,1,1,1.0,2743.0,2743.0,2743.0,0.0,26.0,1.0,1.0,1.0,BRAF(2743)
non-Langerhans-cell histiocytosis,knowledge_full,1,1,1.0,2743.0,2743.0,2743.0,0.0,26.0,1.0,1.0,1.0,BRAF(2743)
Androgenic alopecia,knowledge_full,1,1,1.0,2708.0,2708.0,2708.0,0.0,27.0,1.0,1.0,1.0,AR(2708)
Kennedy's disease,knowledge_full,1,1,1.0,2708.0,2708.0,2708.0,0.0,27.0,1.0,1.0,1.0,AR(2708)
Androgen insensitivity syndrome,knowledge_full,1,1,1.0,2708.0,2708.0,2708.0,0.0,27.0,1.0,1.0,1.0,AR(2708)
Alopecia,knowledge_full,1,1,1.0,2708.0,2708.0,2708.0,0.0,27.0,1.0,1.0,1.0,AR(2708)
ICD10:L64,knowledge_full,1,1,1.0,2708.0,2708.0,2708.0,0.0,27.0,1.0,1.0,1.0,AR(2708)
AH Amyloidosis,knowledge_full,2,2,1.0,2668.5,2668.5,4712.9,0.4788270563987258,2130.5,0.5,0.5,1.0,APOE(5224); APCS(113)
AHL Amyloidosis,knowledge_full,2,2,1.0,2668.5,2668.5,4712.9,0.4788270563987258,2130.5,0.5,0.5,1.0,APOE(5224); APCS(113)
Lewy body dementia,knowledge_full,5,4,0.8,2250.0,2598.6,4409.2,0.34544754868005845,44.0,0.8,0.8,1.0,APOE(5224); APP(3187); SNCA(2250); SNCA(2250); SNCB(82)
ICD10:F02,knowledge_full,5,4,0.8,2250.0,2598.6,4409.2,0.34544754868005845,44.0,0.8,0.8,1.0,APOE(5224); APP(3187); SNCA(2250); SNCA(2250); SNCB(82)
Dementia,knowledge_full,8,7,0.875,2219.0,2019.7777777777778,3594.4000000000005,0.4037481204386254,47.0,0.7777777777777778,0.7777777777777778,1.0,APOE(5224); APP(3187); SNCA(2250); SNCA(2250); MAPT(2219)
