GeneID	GeneSymbol	PubMed_Count
7157	TP53	11608
1956	EGFR	6674
7124	TNF	6439
3569	IL6	5459
348	APOE	5224
7422	VEGFA	5214
7040	TGFB1	5005
3091	HIF1A	3905
4524	MTHFR	3862
207	AKT1	3744
6774	STAT3	3689
2099	ESR1	3638
3586	IL10	3485
672	BRCA1	3448
4790	NFKB1	3390
1499	CTNNB1	3354
2064	ERBB2	3350
3553	IL1B	3209
351	APP	3187
4318	MMP9	3165
3845	KRAS	3044
3123	HLA-DRB1	2868
5728	PTEN	2819
7099	TLR4	2775
1636	ACE	2770
673	BRAF	2743
367	AR	2708
1029	CDKN2A	2695
4609	MYC	2694
29126	CD274	2642
5243	ABCB1	2568
2475	MTOR	2566
627	BDNF	2559
3576	CXCL8	2500
7421	VDR	2492
9370	ADIPOQ	2462
1401	CRP	2459
110806262	LOC110806262	2410
6532	SLC6A4	2401
5594	MAPK1	2328
5743	PTGS2	2316
5468	PPARG	2273
2944	GSTM1	2270
6622	SNCA	2250
999	CDH1	2232
596	BCL2	2224
4137	MAPT	2219
3106	HLA-B	2215
4193	MDM2	2209
675	BRCA2	2204
4846	NOS3	2192
7852	CXCR4	2175
3458	IFNG	2157
7015	TERT	2103
3479	IGF1	2075
1312	COMT	2073
920	CD4	2024
4313	MMP2	1976
1080	CFTR	1944
3952	LEP	1911
4780	NFE2L2	1909
2952	GSTT1	1902
1026	CDKN1A	1838
23411	SIRT1	1822
3717	JAK2	1804
595	CCND1	1796
2950	GSTP1	1719
5290	PIK3CA	1717
59272	ACE2	1711
5970	RELA	1676
3105	HLA-A	1667
3605	IL17A	1651
1234	CCR5	1643
6347	CCL2	1640
7097	TLR2	1621
4851	NOTCH1	1587
406991	MIR21	1580
472	ATM	1572
142	PARP1	1572
3119	HLA-DQB1	1556
2932	GSK3B	1548
5054	SERPINE1	1546
2146	EZH2	1545
6714	SRC	1506
10413	YAP1	1503
5595	MAPK3	1494
3688	ITGB1	1491
3146	HMGB1	1487
2147	F2	1486
960	CD44	1479
6387	CXCL12	1469
1432	MAPK14	1462
5925	RB1	1418
4233	MET	1417
2033	EP300	1392
3320	HSP90AA1	1384
7316	UBC	1362
332	BIRC5	1360
3383	ICAM1	1352
2153	F5	1343
6667	SP1	1341
7515	XRCC1	1340
1493	CTLA4	1335
5879	RAC1	1334
1813	DRD2	1325
3725	JUN	1324
6647	SOD1	1324
3065	HDAC1	1321
3565	IL4	1301
114548	NLRP3	1288
2908	NR3C1	1287
5444	PON1	1281
2100	ESR2	1276
3480	IGF1R	1269
355	FAS	1256
5133	PDCD1	1248
836	CASP3	1247
3690	ITGB3	1220
857	CAV1	1219
3162	HMOX1	1204
6696	SPP1	1203
983	CDK1	1194
3606	IL18	1187
3815	KIT	1171
50943	FOXP3	1169
183	AGT	1161
387	RHOA	1161
4869	NPM1	1161
4879	NPPB	1148
3309	HSPA5	1145
6772	STAT1	1144
335	APOA1	1126
154	ADRB2	1126
1543	CYP1A1	1117
581	BAX	1115
1557	CYP2C19	1111
4292	MLH1	1110
120892	LRRK2	1107
1027	CDKN1B	1105
