Gene;modal_value;error_steps
MAGEC1;19.2;7.38
REG1B;19.1;7.63
DEFA6;19.1;0.5
LST1;18;0.53
MNDA;17;0
LDOC1;17;2.25
CD52;17;1.11
TCEAL1;17;1.65
TUBAL3;17;6.85
SCGB2A1;17;0.82
PEG3;17;1.75
HMGN4;17;2.58
CD300A;17;2.49
NXT1;17;9.85
SCGB3A1;15.2;0.6
CLC;15.2;2.27
ASXL3;15.2;4.68
KLK14;15.2;7.22
DLL3;15.2;4.78
HRK;15.2;0
RNF135;15.1;4.52
YBX2;15.1;7.66
KRT31;15.1;5.31
FXYD2;15.1;0.27
MT1X;15.1;1.73
IFI6;15.1;2.35
CRYBG3;14;2.33
EPB42;14;2.58
CD180;14;4.17
TNFSF8;14;0.5
LAT2;14;0.25
MYO1A;14;7.75
KIAA0586;14;0.85
EFNA4;14;3.35
FCRL4;14;2.04
CD72;14;1.62
LAPTM5;13;1.62
PEAR1;13;5
DBP;13;4.08
TIPARP;13;4.67
TMC8;13;4.54
MXRA7;13;3.08
FXYD1;13;0.32
RGS10;13;4.92
SLC26A9;13;5.15
FCRL5;13;2.08
CD37;13;4.33
SLC16A7;12;6.31
ZNF574;12;3.15
HOXB3;12;4.92
FAM83A;12;0.08
CLDN14;12;0.85
RLF;12;1.15
OSBPL10;12;5.67
TMEM237;12;0.82
MAPK8IP2;12;3.92
VPS37C;12;4.85
SSBP3;12;5.38
FAM3A;12;2.85
SCN3B;12;0.08
MTERF1;12;2.69
TAGAP;12;3.55
STYK1;12;3.08
NPTX1;12;2.92
PERP;12;2.17
VASH2;12;6.46
RND1;12;3.77
RNF128;12;6.15
MYPN;12;2.5
TMED1;12;5
ARHGAP12;12;5
HPR;12;4.88
PCDH9;12;3.17
GNG7;12;3.08
ASIP;12;0.33
TMC6;12;4.54
TBX4;12;2.08
MTMR1;12;4.85
ADGRL1;12;3.85
SCG3;12;2.62
NCAN;12;1.85
APOOL;12;2.77
RASSF6;12;2.54
SLA;12;2.38
FOXD1;12;4.73
MRPL30;12;4.36
CMYA5;12;3.94
EFNA3;12;1.94
ZNF536;12;2.77
DLX6;12;4.54
SAMD9L;12;3.92
TANC2;12;5.92
URGCP;12;2.49
RHOQ;12;3.23
MMP28;12;3.67
SLITRK1;12;2.85
PARP12;12;4.58
CNKSR1;12;3.08
GABRR1;12;4.23
CCL14;12;2.34
BRINP1;12;1.15
KCNK5;12;5.33
CRYBG1;12;2.31
ZMIZ2;12;6.15
MFRP;12;2.08
LAD1;12;3.44
PPP1R12C;12;4.62
DOCK10;12;6.85
IL1RL2;12;2.3
TFPT;12;2.31
RBMS3;12;5.85
CELSR3;12;4.17
GALNT6;12;5
FAM168A;12;1
TM4SF5;12;0
SOX8;12;5
FBXL19;12;4.23
LHX4;12;4.46
CNKSR2;12;5
MEOX1;12;3.92
NCKAP5L;12;1.15
TRIM39;12;4.13
E4F1;12;4.08
CLDN12;12;0
XCR1;12;2.31
ARTN;12;1.49
UTS2R;12;2.69
MYH7B;12;6
GNAT2;12;6.58
HECW1;12;5.33
RHOJ;12;2.15
PLCH1;12;4.85
ADARB2;12;6.46
SLC8A3;12;6.38
BMP3;12;2.23
BNIP2;12;4.62
C8G;12;1
MAN2B2;12;4.08
HOXA3;12;4.17
RHPN2;12;5.78
ZBTB11;12;2.92
SPTBN4;12;3.92
GP5;12;4.31
ATP11A;12;5
HES6;12;3.63
ASB2;10;3.92
RHOU;9;2.46
HECTD4;9;3.46
FBXL3;9;1.62
GPRC5B;9;
LNX2;9;3.08
ASTN2;9;1.62
ICE1;9;3.11
CCDC138;9;0
ZZEF1;9;3.15
SZT2;9;2.62
ST3GAL3;9;2.62
CXXC5;7;2.15
RORB;7;1.08
ASCL2;7;3.08
TNNT3;7;2.15
ZNF280C;7;4
MRPL54;7;1.91
TINAGL1;7;3.08
DOCK9;7;3
TREX2;7;1.42
THSD7A;7;2.23
SCNN1D;7;3.12
RASD1;7;3.23
POU4F1;7;1.77
FAM107A;7;2.54
SPIRE1;7;2
LCORL;7;1.46
NETO2;7;1.62
CNGB1;7;4.27
RIMS2;7;1.46
CLEC4E;7;3.42
ZFHX4;7;2.38
PPRC1;7;3.01
PPFIBP2;7;2.17
DOK3;7;3.4
PPP1R3B;6;2.08
TMEM38B;6;1.85
ASIC3;6;2.18
RAB39A;6;3.82
PDE8B;6;2.92
ARHGEF28;6;3.17
ONECUT1;6;2.15
ZC4H2;6;0.46
AHCYL2;6;2.92
VAMP1;6;4.57
ADAMTS12;6;2
INTS10;6;0.38
L3MBTL1;6;1.38
SPON2;6;0.92
MEP1B;6;2.17
BORA;6;1.46
SIX4;6;3.57
POU4F3;6;2.62
ARHGEF17;6;4
TTC19;6;2.09
ATXN7L3;6;1.85
EBF3;6;2
AVEN;6;1.46
KCNK1;6;2.75
MBNL2;6;2.15
RAB33B;6;2.15
TLL1;6;2
INO80B;6;1.54
USH1G;6;1.31
EPG5;6;0.69
TEFM;6;1.46
PIP4P1;6;1
PLPP1;6;2.69
FKBP14;6;2.92
OVOL2;6;3.15
CHST3;6;3.08
MYO19;6;1.92
FUNDC2;6;3.02
GRM8;6;2.69
SFMBT1;6;1.38
FAM120C;6;2.31
ARHGAP18;6;3.15
SRGAP1;6;2.38
SYT7;6;1.31
RASGRP3;6;2.62
SPICE1;6;1.15
FBXO30;6;1.62
NR2F6;6;3.08
RBM45;6;1.31
AEBP2;6;3.08
OSTM1;6;0.54
ZNF503;6;2
FREM2;6;1.62
BRMS1L;6;1
FAM162A;6;2.15
DLGAP4;6;2.85
CENPM;6;0.92
SYN3;6;2.02
FCHSD2;6;1.38
SAMD1;6;5.38
SPA17;6;1.71
BBS10;6;1.31
SPTY2D1;6;1.92
DDX43;6;2.92
DCAF10;6;0.77
PDSS2;6;2.31
FAM76B;6;0.92
SH3D19;4;2.08
EFHD1;4;2.46
SH3BP5;4;2.85
B4GAT1;4;0.54
CACNB4;4;2.77
YIPF3;4;0.23
MYO3A;4;3.67
TEAD2;4;3.72
PARP3;4;0.85
INO80E;4;3.62
GORAB;4;2.58
SH3BGRL3;4;2.08
TIMM29;4;1.15
KCNN2;3;0.31
AANAT;3;4
SRFBP1;3;4.54
MYRF;3;3.46
FGD4;3;2.92
NOXA1;3;5.84
IDO2;3;1.15
WDR7;3;1.62
CENPI;3;0.23
PPP1R3A;3;5.78
NME1-NME2;3;0.82
KAT14;3;1.69
COA6;3;1.31
SMG8;3;1.62
GABRG3;3;0.46
TIPIN;2;1.62
HEATR5B;2;0.92
MARF1;2;4.38
ATG10;2;0.92
OTUD3;2;1.54
ISG20L2;2;2.86
SYF2;2;0.23
ALG6;2;0
JADE3;2;3.85
EPC2;2;3.54
KIF21B;2;3.08
NDUFAF1;2;1.15
ABCC10;2;0.38
POGLUT1;2;0.92
SNRNP27;2;0.5
IPMK;2;1.38
CHML;2;3.31
NSMCE3;2;2.77
CRIPT;2;0.08
PPIP5K2;2;2.31
