transcriptid	prot	description	chrom	strand	cdsStart	cdsEnd	exonStarts	exonEnds
knownGene.uc001abv.1.1.inc	RP11-54O7.4-002	Novel protein (Fragment).	chr1	+	851226	861096	850392,851164,855397,856281,861014,	850432,851256,855579,856332,861139,
knownGene.uc001acm.1.1	UNQ2998	Homo sapiens cDNA FLJ20584 fis, clone KAT09532.	chr1	-	1008135	1016786	1007067,1011120,1012381,1012744,1015595,1016714,1017233,	1008230,1011255,1012447,1012840,1015671,1016808,1017346,
knownGene.uc001acv.1.1.inc	BC028014	Homo sapiens cDNA clone IMAGE:5216367.	chr1	+	1068024	1068360	1062259,1066067,1067981,	1062353,1066275,1069297,
knownGene.uc001ada.1.1	TNFRSF18	tumor necrosis factor receptor superfamily,	chr1	-	1129086	1130706	1128750,1129276,1129641,1130612,	1129211,1129479,1129729,1130923,
knownGene.uc001ady.1.1.inc	CENTB5	centaurin, beta 5	chr1	-	1219088	1223293	1218806,1219065,1219332,1219644,1219960,1220689,1220978,1221257,1221453,1221667,1223064,1223255,1223612,1223809,	1218951,1219176,1219442,1219871,1220059,1220797,1221181,1221352,1221523,1221876,1223176,1223356,1223664,1224198,
knownGene.uc001aex.1.1.inc	MXRA8	matrix-remodelling associated 8	chr1	-	1279276	1280933	1277933,1279090,1279272,1279435,1279596,1279924,1280486,1280692,1281923,1283698,	1278575,1279189,1279349,1279475,1279752,1280395,1280588,1280995,1281947,1283778,
knownGene.uc001ahf.1.1	SLC35E2	SLC35E2 protein.	chr1	-	1587083	1598001	1585083,1589628,1590965,1591399,1592810,1596764,1597365,1597679,1612274,1613747,	1587321,1589774,1591038,1591453,1592931,1596892,1597501,1598148,1612692,1614027,
knownGene.uc001aii.1.1	RP1-140A9.3	Novel protein.	chr1	-	1839180	1839855	1838889,1839551,	1839461,1840096,
knownGene.uc001ain.1.1	RP1-140A9.6	Novel protein similar to KIAA1751.	chr1	-	1906680	1912255	1904969,1906637,1908235,1909810,1910187,1912188,1924999,	1906411,1906789,1908334,1909954,1910272,1912274,1925136,
knownGene.uc001ajd.1.1.inc	MORN1	MORN repeat containing 1	chr1	-	2278818	2311266	2276475,2278730,2279890,2293779,2295759,2306276,2307105,2308717,2309537,2311223,2312756,	2276763,2278897,2280014,2293890,2295856,2306364,2307196,2308828,2309636,2311295,2312853,
knownGene.uc001ajl.1.1	PLCH2	phospholipase C-like 4	chr1	+	2425705	2426512	2420042,2420382,2420939,2423410,2424915,2425220,	2420127,2420529,2421019,2423708,2424942,2426824,
