Gene;modal_value;error_steps
RBMY1F;19.2;11.85
MUCL1;19.2;0.24
KLRC3;19.2;5.68
LCE3A;19.2;4
ZNF124;19.1;6.16
SPIN3;19.1;3.02
SP140L;19.1;4.15
CARD18;19.1;3.18
NPIPB3;19.1;4.3
SMIM29;19.1;0
CTAG1A;19.1;4.5
LCE2A;19.1;4.48
PRR4;19.1;2.03
MAGEA8;19.1;7.58
ZNF587;19.1;8.46
ANXA2R;18;0.48
ZNF764;18;6.13
PRRT4;18;0.68
ZNF160;18;6.43
CCL4L2;17;6.9
ZNF576;17;3.67
DEFB129;17;0
SSX4;17;1.09
SELENOV;17;3.5
ZNF555;17;5.42
TSPYL4;17;9.08
ZNF660;17;7.17
FRAT1;17;2.17
EID2;17;0
ZNF264;17;4.78
ZNF324;17;5.62
ZNF445;17;6.49
ZNF165;17;4.74
ZNF879;17;6.83
KRT72;17;4.42
LILRB3;17;2.56
NLRP8;17;7.17
ZNF773;17;5.78
FXYD4;17;2.02
SH3D21;17;5.98
ZSCAN25;17;3.73
ZNF77;17;5.6
ZFP41;17;5.91
TCEAL4;17;3.5
HSFX2;17;0.22
VSIG8;15.2;8.86
ADIRF;15.2;0
TAAR6;15.2;4.6
FCRLB;15.2;2.88
PRRT3;15.2;4.32
OXER1;15.2;3.03
OCEL1;15.2;3.15
TOMM6;15.2;0
PCDHGC5;15.2;5.62
ACTL7A;15.2;6.55
COX6A2;15.2;7.45
COX7A1;15.2;5.06
ODF1;15.2;2.52
NANOGP8;15.2;0
MROH2B;15.2;4.8
TMEM219;15.2;2.53
AUNIP;15.2;0.15
P2RX6;15.1;6.73
CDKL3;15.1;5.82
FSCN3;15.1;3.57
SPATA2L;15.1;3.9
MROH7;15.1;3.49
SPACA4;15.1;1.55
FAM220A;15.1;1.01
KRTAP10-3;15.1;5.43
RASL10A;15.1;6.05
ELL3;15.1;3.71
TMEM207;14;0
PCDHGC3;14;2.92
MAPK1IP1L;14;2.9
CENPQ;14;0
ZMYM5;14;2.23
LEKR1;14;3.82
ZNF777;14;3.06
TUSC1;14;0.4
TMSB15A;14;3.02
SYCP2;14;4.15
TMEM108;14;2.51
HOXA6;14;6.31
MFAP3;13;0.7
ZG16;13;3
DEUP1;13;2.77
RBP5;13;1.54
MSANTD4;13;0.54
OR12D2;13;1.13
OR2H2;13;2.02
TCEANC;13;4
HABP4;13;5.31
OR12D3;13;1.71
CCNO;13;4.38
MAMLD1;13;0.85
FOXJ2;13;5.31
CD84;13;2.51
SULT1A4;13;0.67
LRRC8B;13;4.77
PCDH20;12;2.67
