Gene;modal_value;error_steps
FCGR2A;19.2;5.11
CCR2;19.1;7.57
GSTM1;17;9.32
ICAM1;17;4.17
IL4;17;1.58
NPPB;17;2.68
IL2;17;0
IL13;17;1.04
IL33;17;0
GNAS;17;8.75
POU5F1;17;4.15
PLAUR;17;1.57
APOBEC3G;17;1.29
IL1A;15.2;0.01
HFE;15.2;1.48
LCN2;15.2;1.9
MMP3;15.2;5.56
CXCL10;15.2;1.28
S100A9;15.2;4.37
PML;15.2;4.01
CD40;15.2;6.54
CCL2;15.1;1.44
FOXP3;15.1;4.63
AGER;15.1;2.73
IFNL3;15.1;0.56
TNFRSF1B;15.1;4.38
S100A8;15.1;2.69
BCL2L11;15.1;1.03
TLR4;14;6.25
IFNG;14;1.08
LEP;14;0.17
CTLA4;14;0.62
NLRP3;14;5.44
PDCD1;14;0.5
SPP1;14;0.55
IL18;14;0.52
IL1RN;14;0.87
GHRL;14;0
CFH;14;4
CD14;14;0.57
CCL5;14;0.73
HTR2A;14;4
IL2RA;14;0.37
ENG;14;2.2
IL6;13;0.42
CXCL8;13;3.77
NOS3;13;6.08
CD44;13;1.82
APOA1;13;3.5
CYP2D6;13;5.09
MMP1;13;5.02
PRNP;13;0
ALB;13;0.31
TNFSF11;13;2.31
TRIM28;13;5.46
CD40LG;13;1.67
TNF;12;1.94
APOE;12;2.85
VEGFA;12;2.77
HIF1A;12;3.31
STAT3;12;3.77
ESR1;12;2.54
IL10;12;0
IL1B;12;0.08
MMP9;12;2.64
HLA-DRB1;12;1.3
AR;12;2.46
CDKN2A;12;0
CD274;12;1.59
BDNF;12;0.92
VDR;12;2.92
ADIPOQ;12;2.23
CRP;12;2.57
PPARG;12;3.42
SNCA;12;0.25
CDH1;12;2.08
HLA-B;12;0.89
CXCR4;12;2.23
IGF1;12;1.38
CD4;12;0.62
MMP2;12;4.42
CFTR;12;3.23
NFE2L2;12;4.38
GSTT1;12;
CDKN1A;12;3.17
JAK2;12;3.92
HLA-A;12;2.58
IL17A;12;1.63
CCR5;12;2.57
TLR2;12;5.25
HLA-DQB1;12;1.16
SERPINE1;12;5.38
F2;12;4.23
CXCL12;12;0.15
F5;12;3.31
SP1;12;4.92
DRD2;12;3.54
NR3C1;12;1.77
IGF1R;12;5.25
FAS;12;2.85
ITGB3;12;3.46
KIT;12;2.75
AGT;12;2.62
STAT1;12;4
KDR;12;3.83
HLA-C;12;1.65
LMNA;12;4.62
LGALS3;12;1.54
INS;12;1.38
NOD2;12;4.42
AGTR1;12;1.54
HLA-G;12;1.65
E2F1;12;5.69
VIM;12;3.38
EDN1;12;0.31
FMR1;12;4.31
LDLR;12;4.31
FGF2;12;3
PIK3R1;12;5.15
FN1;12;4.23
HBB;12;3.44
SLC6A3;12;4.15
MBL2;12;2.85
GJB2;12;0.46
COL1A1;12;4.92
HLA-DQA1;12;0.91
HGF;12;3.54
FLT3;12;2.75
TNFRSF1A;12;1.85
TLR9;12;5.5
MCL1;12;1.63
PPARGC1A;12;3.85
FOXO3;12;3.77
EGF;12;3.23
PGR;12;2.72
ELAVL1;12;6
LPL;12;3.85
BCL2L1;12;2.77
GJA1;12;0.77
FGFR1;12;4.67
IGFBP3;12;2.15
YBX1;12;5.69
IGF2;12;1.92
TLR3;12;4.83
LEPR;12;1.31
MECP2;12;2.54
SCN5A;12;4.95
DRD4;12;3.38
FGFR2;12;5
CETP;12;2.46
FASLG;12;1.46
RAF1;12;6.69
FOXM1;12;3
F8;12;3.08
HBA1;12;3
TTR;12;5.08
EZR;12;4.23
IRS1;12;3.62
FGF23;12;1.62
PPARA;12;2.33
CLU;12;0.23
GDF15;12;1.95
IKBKB;12;4.15
F3;12;0.38
VCAM1;12;2.15
OPRM1;12;2.31
FGFR3;12;5.25
IL12B;12;0.69
PLAU;12;3.69
LTA;12;2.14
SYK;12;5
TFRC;12;5.62
ERBB3;12;4.31
NRG1;12;1.38
PDGFRB;12;3.17
MICA;12;2.37
LCK;12;4.46
PDGFRA;12;4.25
LGALS1;12;1.62
SOCS3;12;2.23
CEBPA;12;2.77
P2RX7;12;4.08
STIM1;12;5.08
TGM2;12;3.54
CALCA;12;0.35
RIPK1;12;4.54
KLF4;12;3.85
ADAMTS13;12;1.69
HMGA2;12;1.58
DKK1;12;1.77
ANGPT2;12;3.08
KL;12;4.46
CNR1;12;3.31
IRF3;12;1.69
CEBPB;12;2.77
TGFB1;10;2.15
HSPB1;10;3.23
HNF1A;10;1.15
CASR;10;1.92
ESR2;9;1.62
CYP19A1;9;1.62
TNFRSF11B;9;2.92
THBS1;9;1.69
TGFBR2;9;2.38
EGFR;7;2.08
NFKB1;7;1.77
SLC6A4;7;1.92
MAPT;7;1.24
CCND1;7;3.25
RELA;7;2.92
NOTCH1;7;2.92
MET;7;2.08
PTK2;7;2.15
RET;7;2.42
PRKN;7;1.08
APOB;7;2.46
PTPN11;7;3.38
RUNX1;7;1.23
VHL;7;1.92
TCF7L2;7;1.31
FLT1;7;2.25
FOXO1;7;2.54
NFKBIA;7;2.69
SNAI1;7;4.26
ZEB1;7;2
RUNX2;7;1.62
KCNQ1;7;2.08
EPAS1;7;2.38
KEAP1;7;1.92
HNRNPA1;7;3.54
DMD;7;2.69
CHUK;7;2.85
IKBKG;7;2.31
LRP1;7;2.31
BRCA1;6;1.46
CTNNB1;6;1.23
APP;6;1.15
ACE;6;2.54
BRAF;6;2.85
MYC;6;2.46
MDM2;6;2
YAP1;6;1.77
ITGB1;6;0.92
JUN;6;1.92
CASP3;6;1.62
CAV1;6;1.31
NPM1;6;2.08
ADRB2;6;1.77
BAX;6;1.46
CDKN1B;6;3.46
TARDBP;6;1.46
MAPK8;6;3.54
SQSTM1;6;1.69
VWF;6;3
SMAD3;6;2.08
APC;6;2.46
CASP8;6;1.85
GRB2;6;1.85
TNFSF10;6;2.08
SMAD4;6;0.08
TRAF6;6;1.62
SOX2;6;3.08
AHR;6;1.77
TIMP1;6;3.65
BSG;6;1.92
CREB1;6;2
TWIST1;6;1.46
INSR;6;2
BMP2;6;1.85
SMAD2;6;1.38
ITGAV;6;2.38
RETN;6;4.12
CST3;6;4.83
PROM1;6;0.38
MYD88;6;0.62
TGFBR1;6;1.69
HNRNPK;6;1.17
SHH;6;1.77
HNF4A;6;1.31
TRAF2;6;3.15
SOX9;6;2.54
ITGB2;6;2.46
TBK1;6;2.38
TNFAIP3;6;2.62
DHX9;6;2.23
FOS;6;2.69
TIMP2;6;1.85
CCNE1;6;2.31
TP53;4;3.31
ERBB2;4;3.77
BIRC5;4;1.23
TP63;4;1.92
CBL;4;2.77
TP73;4;1.85
FYN;4;3.31
GRN;4;1.08
SKP2;4;1.46
SHC1;4;1.62
ADAM17;4;1.08
RASSF1;4;2.86
BCL2;3;1.23
RHOA;3;2.54
LRRK2;3;2.7
MKI67;3;5.11
HSPA1A;3;1.67
CDC42;3;0.54
HTT;3;0.92
WT1;3;2.77
FLNA;3;3.75
XIAP;3;2.77
NF1;3;0.85
CALM1;3;3.54
FBXW7;3;0.77
CHEK1;3;1.15
PTPN22;3;4.02
BTRC;3;2.38
EGR1;3;3.38
CD36;3;1.92
TSC2;3;1.31
FBN1;3;3.42
PTGS2;2;2.85
COMT;2;0.62
PARP1;2;0
EZH2;2;2.77
RB1;2;3
EP300;2;2.62
XRCC1;2;1.08
CDK1;2;1.46
CYP1A1;2;3.32
CYP2C19;2;7.76
FTO;2;0.77
CREBBP;2;3.85
CYP2C9;2;7.28
PRKDC;2;0.42
ALK;2;3.67
FUS;2;4.31
BECN1;2;0.54
NCL;2;0.54
STUB1;2;0.15
CYP2E1;2;4.27
DICER1;2;1.15
DNMT3A;2;3.08
BMI1;2;3.77
CYP1B1;2;6.32
CYP17A1;2;4.57
CDK9;2;1.46
YY1;2;3.15
MTHFR;1;0.77
AKT1;1;3.38
KRAS;1;4.45
PTEN;1;0.85
ABCB1;1;3.02
MTOR;1;0
MAPK1;1;1.69
BRCA2;1;3.24
TERT;1;1.38
SIRT1;1;2.15
GSTP1;1;4.62
PIK3CA;1;2.46
ACE2;1;5.08
ATM;1;1.67
GSK3B;1;0.69
SRC;1;4.54
MAPK3;1;2.49
HMGB1;1;3.85
MAPK14;1;2.62
HSP90AA1;1;1.55
UBC;1;0.62
RAC1;1;2.23
SOD1;1;0.62
HDAC1;1;2.83
PON1;1;4.49
HMOX1;1;1.38
HSPA5;1;0
MLH1;1;0.15
SOD2;1;0
IDH1;1;1.08
PCNA;1;0
PRKCA;1;3.62
HSPA8;1;0.46
CYP3A4;1;6.57
MUC1;1;4.37
ABCG2;1;0.08
HSPA4;1;2.15
MSH2;1;0
CSNK2A1;1;0.69
CDK2;1;1.46
ABL1;1;4.46
ERCC2;1;0
PLK1;1;0.5
MIF;1;0.54
PSEN1;1;1.23
DNMT1;1;1.08
RAD51;1;0
AURKA;1;0.25
ABCA1;1;3.69
NOS2;1;3.69
VCP;1;0.08
PKM;1;1
ALDH2;1;0.92
HRAS;1;3.55
HDAC2;1;1.5
MGMT;1;1.69
SLC2A1;1;3.62
YWHAZ;1;3.23
ANXA2;1;0
ACTB;1;2.08
PCSK9;1;2
CYP3A5;1;5.84
SERPINA1;1;7.46
ERCC1;1;1.25
SMARCA4;1;1.69
UGT1A1;1;5.59
C3;1;6
NAT2;1;5.97
APEX1;1;0
HSPD1;1;0
XRCC6;1;0.38
PRKACA;1;2.38
PRKCD;1;4.31
KMT2A;1;5.1
CDK4;1;5
CALR;1;0.15
XRCC5;1;0.38
MYH9;1;3.83
CHEK2;1;0.85
KCNH2;1;4.43
MPO;1;7.02
